year,states,id,population,locations
2010,California,CA,37253956,California (CA)
2010,Texas,TX,25145561,Texas (TX)
2011,California,CA,37691912,California (CA)
2011,Texas,TX,25674681,Texas (TX)
2012,California,CA,38041430,California (CA)
2012,Texas,TX,26059203,Texas (TX)
2013,California,CA,38332521,California (CA)
2013,Texas,TX,26448193,Texas (TX)
2014,California,CA,38802500,California (CA)
2014,Texas,TX,26956958,Texas (TX)
2015,California,CA,39144818,California (CA)
2015,Texas,TX,27429639,Texas (TX)
2016,California,CA,39250017,California (CA)
2016,Texas,TX,27862596,Texas (TX)
2017,California,CA,39536653,California (CA)
2017,Texas,TX,28304596,Texas (TX)
2018,California,CA,39557045,California (CA)
2018,Texas,TX,28701845,Texas (TX)
2019,California,CA,39512223,California (CA)
2019,Texas,TX,29087070,Texas (TX)
